parameter,multiplier,value,case_endpoint_relative_change,vaccine_endpoint_relative_change,log_rmse,case_mape,vaccine_mape
sigma,0.8,0.15200000000000002,0.00044036603470676283,1.7809453358719196e-06,0.00666956987394353,0.0012103217260198433,0.007101778591206656
sigma,1.2,0.22799999999999998,-0.00024176497680106213,-7.304704802146844e-07,0.006630510238679586,0.0008791982578024939,0.007101267314784512
gamma,0.8,0.08000000000000002,0.0007312476116496658,2.6752235986471362e-06,0.0066858240262804465,0.0013276220602378278,0.0071021163647722995
gamma,1.2,0.12,-0.0005305296482657207,-1.9754349237510738e-06,0.006620864928732287,0.0007818005602912559,0.007100971343185712
epsilon,0.8,0.6400000000000001,0.00027009016966195176,1.4424903862497729e-05,0.006656423793642633,0.0010917250043633565,0.007104529539314669
epsilon,1.2,0.96,-0.00034659279091431294,-1.833140925022736e-05,0.0066319543131829126,0.0009016011857537312,0.007097815916293812
