parameter,multiplier,value,case_endpoint_relative_change,vaccine_endpoint_relative_change,log_rmse,case_mape,vaccine_mape
sigma,0.8,0.15200000000000002,5.4983534559127634e-05,1.7670219798482378e-07,0.0284411350287805,0.0014857215501281843,0.03462219003628332
sigma,1.2,0.22799999999999998,-4.308684219522796e-06,-4.823035680834309e-07,0.0284446789023759,0.0015686313217111423,0.034621562673126084
gamma,0.8,0.08000000000000002,0.0003451073537867888,5.501703053134577e-07,0.028437602016940764,0.001371171363790844,0.03462257420066561
gamma,1.2,0.12,-0.00016751440484108482,-4.0631301467808356e-07,0.02844779084191577,0.0016533054167145375,0.03462111886033396
epsilon,0.8,0.6400000000000001,8.45040889252413e-05,2.8059823660164795e-06,0.028444400218125474,0.0015027737586468224,0.03462486526851586
epsilon,1.2,0.96,-0.00012457196806747728,-5.950617758321286e-06,0.028442334435882413,0.001600322485205285,0.034617446629168803
