,replicate,beta_intercept,beta_m,beta_c,nu_intercept,nu_m,nu_c,case_endpoint_relative_change,vaccine_endpoint_relative_change,c_zero_case_endpoint_relative_change,c_zero_vaccine_endpoint_relative_change
0.025,2.475,-2.0559132959009996,-1.2018187015459627,1.0726150506613925,-4.921727734224728,0.12514527551913707,-0.5974333108125605,30.451718282786743,-0.8316856147975694,-0.31069500536344163,1.280135608828667
0.5,49.5,-2.050636647382367,-1.106120092932946,1.1730367161917075,-4.914273904083709,0.16991613869665517,-0.5679169732194812,30.483224232118765,-0.8306488334858037,-0.31000451166287746,1.295619745755373
0.975,96.52499999999999,-2.0454333972564456,-1.0063154781191426,1.2673890450637553,-4.906757842096239,0.1980397882994027,-0.5315809910551911,30.504464732666282,-0.8296922860732253,-0.3095389998195358,1.3093271591284015
