pair,lag_days,correlation
intervention_c_vs_beta,25,-0.909547161310517
intervention_c_vs_beta,26,-0.8455371277042766
intervention_c_vs_beta,27,-0.7586945908137984
intervention_c_vs_beta,28,-0.6493636728503484
intervention_c_vs_beta,29,-0.5199790075257822
intervention_c_vs_beta,30,-0.37510146725194443
vaccine_m_vs_nu,-30,-0.9872917498684952
vaccine_m_vs_nu,-29,-0.9861574943034931
vaccine_m_vs_nu,-28,-0.9848164592858408
vaccine_m_vs_nu,-27,-0.9832214479023228
vaccine_m_vs_nu,-26,-0.9813241939953118
vaccine_m_vs_nu,-25,-0.9790824464037061
vaccine_m_vs_nu,-24,-0.9764575743269239
vaccine_m_vs_nu,-23,-0.9734125902373252
vaccine_m_vs_nu,-22,-0.9699159046969685
vaccine_m_vs_nu,-21,-0.9659407038819698
vaccine_m_vs_nu,-20,-0.961467235192115
vaccine_m_vs_nu,-19,-0.9564897581074342
vaccine_m_vs_nu,-18,-0.9510160462990898
vaccine_m_vs_nu,-17,-0.9450680153279046
vaccine_m_vs_nu,-16,-0.9386773812040747
vaccine_m_vs_nu,-15,-0.931873184946725
vaccine_m_vs_nu,-14,-0.9246781855399776
vaccine_m_vs_nu,-13,-0.9171026344571813
vaccine_m_vs_nu,-12,-0.9091500928649785
vaccine_m_vs_nu,-11,-0.9008255657587448
vaccine_m_vs_nu,-10,-0.8921306874560467
vaccine_m_vs_nu,-9,-0.8830598880312586
vaccine_m_vs_nu,-8,-0.8735957896232217
vaccine_m_vs_nu,-7,-0.8637097063433603
vaccine_m_vs_nu,-6,-0.8533604180780107
vaccine_m_vs_nu,-5,-0.8425055918366187
vaccine_m_vs_nu,-4,-0.8311046420853669
vaccine_m_vs_nu,-3,-0.8191192211799708
vaccine_m_vs_nu,-2,-0.8065126083120026
vaccine_m_vs_nu,-1,-0.7932421659226586
vaccine_m_vs_nu,0,-0.7792541396753495
vaccine_m_vs_nu,1,-0.7719845127047011
vaccine_m_vs_nu,2,-0.7633593033047646
vaccine_m_vs_nu,3,-0.7531850316454272
vaccine_m_vs_nu,4,-0.7412452366643044
vaccine_m_vs_nu,5,-0.7272969923611243
vaccine_m_vs_nu,6,-0.7110676360028385
vaccine_m_vs_nu,7,-0.6922435545539863
vaccine_m_vs_nu,8,-0.6704688871658672
vaccine_m_vs_nu,9,-0.6453343399876512
vaccine_m_vs_nu,10,-0.6163701031469686
vaccine_m_vs_nu,11,-0.5830536173507059
vaccine_m_vs_nu,12,-0.5448201307790396
vaccine_m_vs_nu,13,-0.5010594648914679
vaccine_m_vs_nu,14,-0.4511484935546802
vaccine_m_vs_nu,15,-0.3944660121041308
vaccine_m_vs_nu,16,-0.33045297310185195
vaccine_m_vs_nu,17,-0.25869664235245593
vaccine_m_vs_nu,18,-0.1790829930176376
vaccine_m_vs_nu,19,-0.09197248115332073
vaccine_m_vs_nu,20,0.00165495218008102
vaccine_m_vs_nu,21,0.10011728667390922
vaccine_m_vs_nu,22,0.2010641423543877
vaccine_m_vs_nu,23,0.30171270035477693
vaccine_m_vs_nu,24,0.3991629967089477
vaccine_m_vs_nu,25,0.4907766811879133
vaccine_m_vs_nu,26,0.5744865791209144
vaccine_m_vs_nu,27,0.6490065241091523
vaccine_m_vs_nu,28,0.7138294465997482
vaccine_m_vs_nu,29,0.7691014376783152
vaccine_m_vs_nu,30,0.8154527745254665
vaccine_c_vs_nu,-30,-0.9949356811100025
vaccine_c_vs_nu,-29,-0.9940464778346128
vaccine_c_vs_nu,-28,-0.9929299002350772
vaccine_c_vs_nu,-27,-0.9915692245033099
vaccine_c_vs_nu,-26,-0.9899488132652217
vaccine_c_vs_nu,-25,-0.9880596353772617
vaccine_c_vs_nu,-24,-0.9858965450636573
vaccine_c_vs_nu,-23,-0.9834526609012882
vaccine_c_vs_nu,-22,-0.9807243859253466
vaccine_c_vs_nu,-21,-0.9777097023622151
vaccine_c_vs_nu,-20,-0.9744045470516894
vaccine_c_vs_nu,-19,-0.970813289580752
vaccine_c_vs_nu,-18,-0.9669491734277509
vaccine_c_vs_nu,-17,-0.9628345466996603
vaccine_c_vs_nu,-16,-0.9584989527763776
vaccine_c_vs_nu,-15,-0.9539718582809666
vaccine_c_vs_nu,-14,-0.9492786965570765
vaccine_c_vs_nu,-13,-0.944433755840188
vaccine_c_vs_nu,-12,-0.9394317915581605
vaccine_c_vs_nu,-11,-0.9342473251833839
vaccine_c_vs_nu,-10,-0.9288278769697934
vaccine_c_vs_nu,-9,-0.9231016675550263
vaccine_c_vs_nu,-8,-0.9169888569242773
vaccine_c_vs_nu,-7,-0.9104002078458551
vaccine_c_vs_nu,-6,-0.9032349263662164
vaccine_c_vs_nu,-5,-0.8953878109419872
vaccine_c_vs_nu,-4,-0.8867500508124406
vaccine_c_vs_nu,-3,-0.8772166880507836
vaccine_c_vs_nu,-2,-0.866686850988784
vaccine_c_vs_nu,-1,-0.8550570721049441
vaccine_c_vs_nu,0,-0.8422154635242669
vaccine_c_vs_nu,1,-0.8390683138847241
vaccine_c_vs_nu,2,-0.8351681881290235
vaccine_c_vs_nu,3,-0.8303994093041214
vaccine_c_vs_nu,4,-0.8246335856850598
vaccine_c_vs_nu,5,-0.8177289088845476
vaccine_c_vs_nu,6,-0.809527245803614
vaccine_c_vs_nu,7,-0.799844704601126
vaccine_c_vs_nu,8,-0.7884702013279012
vaccine_c_vs_nu,9,-0.7751543291252837
vaccine_c_vs_nu,10,-0.7595986634324299
vaccine_c_vs_nu,11,-0.741455026781273
vaccine_c_vs_nu,12,-0.7203230869181684
vaccine_c_vs_nu,13,-0.6957265226272011
vaccine_c_vs_nu,14,-0.6671114000146606
vaccine_c_vs_nu,15,-0.6338189566950381
vaccine_c_vs_nu,16,-0.5950827147999083
vaccine_c_vs_nu,17,-0.5500222135366039
vaccine_c_vs_nu,18,-0.49767290211456605
vaccine_c_vs_nu,19,-0.43701709815209067
vaccine_c_vs_nu,20,-0.36705177914326803
vaccine_c_vs_nu,21,-0.2869279559475709
vaccine_c_vs_nu,22,-0.19620589731422686
vaccine_c_vs_nu,23,-0.09521919483176494
vaccine_c_vs_nu,24,0.014492560553530749
vaccine_c_vs_nu,25,0.1298923556104223
vaccine_c_vs_nu,26,0.24654840060791577
vaccine_c_vs_nu,27,0.35941055243066855
vaccine_c_vs_nu,28,0.46400171740367363
vaccine_c_vs_nu,29,0.5572149805322723
vaccine_c_vs_nu,30,0.637639176669741
intervention_m_vs_daily_cases,-30,-0.925845264379916
intervention_m_vs_daily_cases,-29,-0.9213940713313967
intervention_m_vs_daily_cases,-28,-0.9155453953165387
intervention_m_vs_daily_cases,-27,-0.9077316865689492
intervention_m_vs_daily_cases,-26,-0.8983275812982224
intervention_m_vs_daily_cases,-25,-0.8876460758288538
intervention_m_vs_daily_cases,-24,-0.8757019190903544
intervention_m_vs_daily_cases,-23,-0.8625689927838177
intervention_m_vs_daily_cases,-22,-0.8476287755755267
intervention_m_vs_daily_cases,-21,-0.8299946594919076
intervention_m_vs_daily_cases,-20,-0.8091251588799421
intervention_m_vs_daily_cases,-19,-0.7859586671750264
intervention_m_vs_daily_cases,-18,-0.7605031039612622
intervention_m_vs_daily_cases,-17,-0.7322883694711857
intervention_m_vs_daily_cases,-16,-0.7017020349051677
intervention_m_vs_daily_cases,-15,-0.6678321167795347
intervention_m_vs_daily_cases,-14,-0.6288499058439408
intervention_m_vs_daily_cases,-13,-0.5846001673880044
intervention_m_vs_daily_cases,-12,-0.5361061853910326
intervention_m_vs_daily_cases,-11,-0.4836361029298524
intervention_m_vs_daily_cases,-10,-0.42761085920861674
intervention_m_vs_daily_cases,-9,-0.3679286291369875
intervention_m_vs_daily_cases,-8,-0.3040281452232823
intervention_m_vs_daily_cases,-7,-0.23517790563604288
intervention_m_vs_daily_cases,-6,-0.16155335481141944
intervention_m_vs_daily_cases,-5,-0.08417605611467871
intervention_m_vs_daily_cases,-4,-0.005392414572789342
intervention_m_vs_daily_cases,-3,0.07409412301057272
intervention_m_vs_daily_cases,-2,0.1537268091674479
intervention_m_vs_daily_cases,-1,0.23281430954589485
intervention_m_vs_daily_cases,0,0.3111088456727554
intervention_m_vs_daily_cases,1,0.4435902025512189
intervention_m_vs_daily_cases,2,0.5141317352151763
intervention_m_vs_daily_cases,3,0.5833819763158855
intervention_m_vs_daily_cases,4,0.6500183707166515
intervention_m_vs_daily_cases,5,0.7127859995457478
intervention_m_vs_daily_cases,6,0.7704368570822399
intervention_m_vs_daily_cases,7,0.8228345743107519
intervention_m_vs_daily_cases,8,0.8702514204668821
intervention_m_vs_daily_cases,9,0.9121957549086359
intervention_m_vs_daily_cases,10,0.9462281519438637
intervention_m_vs_daily_cases,11,0.9703501395973041
intervention_m_vs_daily_cases,12,0.9857768024841279
