,replicate,beta_intercept,beta_m,beta_c,nu_intercept,nu_m,nu_c,case_endpoint_relative_change,vaccine_endpoint_relative_change,c_zero_case_endpoint_relative_change,c_zero_vaccine_endpoint_relative_change
0.025,2.475,-2.397321700620764,0.028941332565447113,-0.3275369753253029,-4.918437710631498,-0.2097886779402124,0.1664629242380313,-0.342986603210629,1.3168586099487185,6.0190406389667555,-0.786983195304527
0.5,49.5,-2.3866024920523388,0.06837266596810554,-0.2789910742178401,-4.8748389810650075,-0.1536707231912161,0.23401657384750496,-0.33844369261816687,1.367640432325397,8.826819285114372,-0.782303605684112
0.975,96.52499999999999,-2.3764656860625095,0.10786226129331336,-0.23189030307128009,-4.837314291430575,-0.0992999168132281,0.31217321340988086,-0.330655751044629,1.422670979075729,10.763021361013827,-0.7770879425264021
